snapshot_id,pipeline,version_collecte,fenetre_debut,fenetre_fin,annonce_id,url,modele,annee,type_connexion,segment,source_taxonomie,energie,reservation_instantanee,prix_jour,prix_heure,note,nb_avis,commune_recherche,commune_annonce,communes_recherche,nb_communes_matchees,rang_resultat,livraison_disponible,mon_vehicule,compte_proprietaire,distance_recherche,nb_resultats_total,nb_clics_pagination
20260802T150127,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1832158,https://fr.getaround.com/location-voiture/puteaux/renault-clio-1832158,Renault Clio (2015),2015,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,61.0,,3.5,2,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,1,False,True,C3,400,468,1
20260802T150127,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1743643,https://fr.getaround.com/location-voiture/puteaux/renault-clio-1743643,Renault Clio (2015),2015,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,64.0,,5.0,3,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,2,False,True,C3,480,468,1
20260802T150127,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1935525,https://fr.getaround.com/location-voiture/puteaux/peugeot-208-1935525,Peugeot 208 (2016),2016,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,68.0,,,,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,3,False,True,C3,480,468,1
20260802T150127,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1881481,https://fr.getaround.com/location-voiture/puteaux/citroen-c1-1881481,Citroen C1 (2016),2016,Getaround Connect,MICRO_CITADINE,SEGMENT_RULES,THERMIQUE,True,66.0,,5.0,2,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,8,False,True,C2,480,468,1
20260802T150127,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1832155,https://fr.getaround.com/location-voiture/puteaux/volkswagen-polo-1832155,Volkswagen Polo (2013),2013,Sur rendez-vous,CITADINE,SEGMENT_RULES,THERMIQUE,True,65.0,,,,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,9,False,True,C3,400,468,1
20260802T150127,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1078506,https://fr.getaround.com/location-voiture/puteaux/renault-clio-1078506,Renault Clio (2011),2011,Sur rendez-vous,CITADINE,SEGMENT_RULES,THERMIQUE,False,65.0,,4.79,21,Puteaux,Puteaux,Puteaux|Paris 17e,2,11,False,True,C1,480,468,1
20260802T150127,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1881624,https://fr.getaround.com/location-voiture/puteaux/renault-twingo-iii-1881624,Renault Twingo III (2015),2015,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,68.0,,5.0,1,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,12,False,True,C2,480,468,1
20260802T150127,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1881691,https://fr.getaround.com/location-voiture/puteaux/opel-corsa-1881691,Opel Corsa (2017),2017,Getaround Connect,CITADINE,SEGMENT_RULES,THERMIQUE,True,67.0,,4.5,2,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,13,False,True,C2,480,468,1
20260802T150127,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1832153,https://fr.getaround.com/location-voiture/puteaux/volkswagen-tiguan-1832153,Volkswagen Tiguan (2015),2015,Getaround Connect,SUV_FAMILIAL,SEGMENT_RULES,THERMIQUE,True,83.0,,1.0,1,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,14,False,True,C3,400,468,1
20260802T150127,A2,v3.4-search-json,2026-08-03T09:00,2026-08-03T20:00,1913338,https://fr.getaround.com/location-voiture/puteaux/ford-c-max-1913338,Ford C-Max (2019),2019,Getaround Connect,MONOSPACE,SEGMENT_RULES,THERMIQUE,True,83.0,,,,Puteaux,Puteaux,Puteaux|Asnières-sur-Seine|Paris 17e,3,17,False,True,C3,480,468,1
